Country Name,FDI_net_inflow_percentGDP,GDP_per_capita,ln(GDP_per_capita),Inflation_GDP_deflator_annual_percent,Trade_percent_GDP,Unemployment_percent_of_total_labor_force,manufacturing_value_added,savings_percent_gdp
Belize,3.88620905,6210.565543,8.734007241,-0.112530945,100.9310987,9.050000191,6.585836954,20.36519128
Bermuda,0.059134468,116153.1661,11.662665,2.419351945,77.56010165,,0.5160393428,38.44677842
Bolivia,-0.529735011,3472.380831,8.152595756,-0.693003423,56.39730673,3.680000067,10.48950355,14.19492887
Brazil,3.692700362,8845.259118,9.087636902,4.224258869,28.89025787,12.05000019,10.33250054,12.25079631
Barbados,4.045079187,19002.96238,9.852350161,4.589868131,74.45273982,8.409999847,4.678593229,
Brunei Darussalam,2.771141484,30748.73749,10.33360422,-3.335767975,108.5096584,6.920000076,13.6022193,53.55344169
Bhutan,0.513136317,3303.964211,8.102878303,0.899053929,82.12860548,2.720000029,7.10560426,21.36177422
Botswana,0.560658417,6679.167674,8.806748659,0.32735866,83.24192845,20.09000015,6.103290718,25.83878691
Canada,2.809522276,46328.67184,10.74351631,1.47519792,65.41236208,5.659999847,,20.01542161
Switzerland,1.216424915,84121.93103,11.34002259,-0.103895158,124.1276122,4.389999866,17.92353933,32.36238748
Chile,4.874312683,14631.94688,9.59096256,2.578359014,57.52797385,7.269999981,8.992566577,19.79974392
China,1.310718778,10143.8382,9.224621726,1.286700408,35.89009603,4.559999943,26.77472171,43.77302811
Cote d'Ivoire,1.450101603,2238.811005,7.713700203,0.200492127,46.40091446,2.400000095,11.7846369,17.55413939
Cameroon,2.583196349,1538.687947,7.33868535,1.169771822,43.37851325,3.628999949,12.82578021,14.39895778
"Congo, Dem. Rep.",2.609314437,575.8827908,6.355904152,5.895405368,55.23515804,4.43599987,19.47791945,14.4877079
"Congo, Rep.",-11.19718664,2288.808138,7.735786497,-1.526592852,126.9556106,20.61199951,8.059074256,34.67422362
Colombia,4.329539146,6438.060183,8.76998256,4.002620543,37.55853398,9.960000038,10.92694054,16.17823058
Comoros,0.359894023,1510.797358,7.320392842,4.209105968,42.26807854,8.062999725,,10.35397897
Cabo Verde,6.213570669,3434.562745,8.141644903,0.562980597,115.9071556,12.20699978,6.637511131,35.28652631
Costa Rica,4.220940195,12669.34107,9.446940265,2.566792117,65.76053002,10.81000042,12.04644495,13.90916029
Cuba,,9139.415856,9.120351752,3.546998699,22.82070619,1.200000048,12.47921259,
Curacao,6.785237686,19024.17715,9.853465931,2.625898564,,,7.350041463,
Cayman Islands,18.17790951,89871.91314,11.40614075,3.464414891,114.8099715,,0.8933384009,
Cyprus,203.6452345,29417.13867,10.28933273,1.323018928,151.9551846,7.070000172,5.454334972,14.29378249
Czechia,4.257453319,23664.84786,10.07174601,3.888953446,141.7710237,2.00999999,22.61708456,26.95330567
Germany,1.843505463,46793.68676,10.75350357,2.124384675,87.68640989,3.140000105,19.55664131,29.70341402
Djibouti,5.665500402,2876.043664,7.964170901,0.449797431,320.939003,26.31500053,3.7029574,20.53967464
Dominica,10.30841713,8561.587011,9.05504085,4.483286354,,,2.253580838,
Denmark,-1.097185465,59592.98069,10.99529307,1.048794244,110.2248286,5.019999981,13.40673475,30.34387485
